,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
ago,7,0.5017921146953405,sedvlvs,5,0.42589437819420783,avdio,6,0.5469462169553327,relinqvo,7,0.5430566330488751,fons,5,0.5458515283842794,exemplvm,6,0.4885993485342019,dignvs,6,0.4897959183673469,hodie,6,0.5333333333333333,ardeo,7,0.49857549857549854,idolvm,6,0.495458298926507
recipio,7,0.5017921146953405,vita,5,0.42589437819420783,nosco,6,0.5469462169553327,regina,7,0.5430566330488751,nvllvs,5,0.5458515283842794,ostendo,6,0.4885993485342019,episcopvs,6,0.4897959183673469,assvm/1,6,0.5333333333333333,dominvs,7,0.49857549857549854,cavsa,6,0.495458298926507
qvin/1,7,0.5017921146953405,recipio,5,0.42589437819420783,rego,6,0.5469462169553327,seqvor,7,0.5430566330488751,lvcidvs,5,0.5458515283842794,anima,6,0.4885993485342019,scio,6,0.4897959183673469,relinqvo,6,0.5333333333333333,sermo,7,0.49857549857549854,gladivs,6,0.495458298926507
postqvam,7,0.5017921146953405,imperivm,5,0.42589437819420783,diligens,6,0.5469462169553327,pavper,7,0.5430566330488751,fero,5,0.5458515283842794,femina,6,0.4885993485342019,qvaestio,6,0.4897959183673469,oro,6,0.5333333333333333,agmen,7,0.49857549857549854,rex,5,0.41288191577208916
aliqvot,7,0.5017921146953405,familia,5,0.42589437819420783,papa,6,0.5469462169553327,refero,6,0.46547711404189296,do,5,0.5458515283842794,appareo,6,0.4885993485342019,familia,6,0.4897959183673469,devotio,6,0.5333333333333333,corripio,7,0.49857549857549854,verbvm,5,0.41288191577208916
simvl/1,6,0.43010752688172044,dvo,5,0.42589437819420783,nonnvllvs,6,0.5469462169553327,devs,6,0.46547711404189296,totvs,5,0.5458515283842794,presbyter,5,0.40716612377850164,ritvs,6,0.4897959183673469,neqvaqvam,6,0.5333333333333333,prior,6,0.4273504273504274,bonvs,5,0.41288191577208916
videlicet,6,0.43010752688172044,praecipio,5,0.42589437819420783,romanvs/a,6,0.5469462169553327,ecclesia,6,0.46547711404189296,angli/n,4,0.43668122270742354,religiosvs,5,0.40716612377850164,doctor,6,0.4897959183673469,deniqve,5,0.4444444444444444,qvoqve,6,0.4273504273504274,cetervs,5,0.41288191577208916
pars,6,0.43010752688172044,hvc,5,0.42589437819420783,credo,6,0.5469462169553327,gratia,6,0.46547711404189296,itaqve,4,0.43668122270742354,venerabilis,5,0.40716612377850164,immo,6,0.4897959183673469,episcopvs,5,0.4444444444444444,ecclesia,6,0.4273504273504274,pontifex,5,0.41288191577208916
terra,6,0.43010752688172044,ivvenis/2,5,0.42589437819420783,sedes,6,0.5469462169553327,credo,6,0.46547711404189296,vmqvam,4,0.43668122270742354,habeo,5,0.40716612377850164,exspecto,6,0.4897959183673469,ago,5,0.4444444444444444,qvidam,6,0.4273504273504274,praefor,5,0.41288191577208916
aetas,6,0.43010752688172044,revoco,5,0.42589437819420783,exemplvm,6,0.5469462169553327,totvs,6,0.46547711404189296,nobilis/2,4,0.43668122270742354,peto,5,0.40716612377850164,gavdeo,6,0.4897959183673469,religio,5,0.4444444444444444,contra/2,6,0.4273504273504274,certvs,5,0.41288191577208916
