,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
cvnctvs,8,0.5263157894736842,svscipio,6,0.17426662794074935,debeo,6,0.23687327279905251,cvro,7,0.2702702702702703,respondeo,8,0.547945205479452,disco,5,0.16420361247947454,opvs/1,6,0.2136752136752137,qvondam,6,0.5361930294906166,maneo,7,0.24964336661911554,exemplvm,7,0.5813953488372093
caelestis,8,0.5263157894736842,visito,6,0.17426662794074935,transfero,6,0.23687327279905251,ministerivm,7,0.2702702702702703,domvs,8,0.547945205479452,cvro,5,0.16420361247947454,habeo,6,0.2136752136752137,ivxta/1,6,0.5361930294906166,donec,7,0.24964336661911554,nosco,6,0.4983388704318937
ecclesia,7,0.4605263157894736,simvl/1,5,0.14522218995062444,pvlvis,6,0.23687327279905251,ago,7,0.2702702702702703,praedico/3,8,0.547945205479452,provincia,5,0.16420361247947454,locvs,6,0.2136752136752137,fero,6,0.5361930294906166,servio,7,0.24964336661911554,cognosco,6,0.4983388704318937
praesvm/1,7,0.4605263157894736,institvo,5,0.14522218995062444,neqvaqvam,6,0.23687327279905251,sancio,7,0.2702702702702703,novvs,8,0.547945205479452,vter/4,5,0.16420361247947454,contra/2,6,0.2136752136752137,magnvs,6,0.5361930294906166,pver,7,0.24964336661911554,qvoqve,6,0.4983388704318937
gratia,7,0.4605263157894736,videlicet,5,0.14522218995062444,sacer,6,0.23687327279905251,servo,7,0.2702702702702703,nihil,8,0.547945205479452,virtvs,5,0.16420361247947454,virtvs,6,0.2136752136752137,dominicvs,6,0.5361930294906166,virgo,7,0.24964336661911554,disco,6,0.4983388704318937
nomen,7,0.4605263157894736,invenio,5,0.14522218995062444,vicissim,6,0.23687327279905251,ibidem,7,0.2702702702702703,noster,7,0.4794520547945206,annvs,5,0.16420361247947454,qvasi/1,6,0.2136752136752137,manvs/1,6,0.5361930294906166,congregatio,7,0.24964336661911554,littera,6,0.4983388704318937
britanni/n,7,0.4605263157894736,percipio,5,0.14522218995062444,circvmdo,6,0.23687327279905251,regio,6,0.23166023166023164,differo,7,0.4794520547945206,praefero,5,0.16420361247947454,sermo,6,0.2136752136752137,pervenio,5,0.44682752457551383,religiosvs,6,0.21398002853067047,pater,6,0.4983388704318937
finis,7,0.4605263157894736,memini,5,0.14522218995062444,desidero,5,0.19739439399921044,facio,6,0.23166023166023164,seqvor,7,0.4794520547945206,profero,5,0.16420361247947454,loqvor,6,0.2136752136752137,genvs/1,5,0.44682752457551383,cognosco,6,0.21398002853067047,affero,6,0.4983388704318937
totvs,7,0.4605263157894736,civitas,5,0.14522218995062444,avdio,5,0.19739439399921044,coepio,6,0.23166023166023164,cor,7,0.4794520547945206,omnis,4,0.13136288998357964,ocvlvs,6,0.2136752136752137,nvllvs,5,0.44682752457551383,videlicet,6,0.21398002853067047,dico/2,6,0.4983388704318937
honor,7,0.4605263157894736,ivxta/1,5,0.14522218995062444,invenio,5,0.19739439399921044,domvs,6,0.23166023166023164,signvm,7,0.4794520547945206,video,4,0.13136288998357964,narro,6,0.2136752136752137,longe,5,0.44682752457551383,dico/2,6,0.21398002853067047,totvs,6,0.4983388704318937
