,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
verbvm,6,0.4559270516717325,rego,6,0.4402054292002935,converto,5,0.45126353790613716,saecvlvm,6,0.49586776859504134,tantvs,6,0.49261083743842365,contingo/1,6,0.5305039787798408,traditio,5,0.47573739295908657,dvco,6,0.4788507581803671,profero,6,0.5059021922428331,domvs,6,0.4885993485342019
antistes,6,0.4559270516717325,videlicet,6,0.4402054292002935,loqvor,5,0.45126353790613716,seqvor,6,0.49586776859504134,regina,6,0.49261083743842365,dono,6,0.5305039787798408,pater,5,0.47573739295908657,transeo/1,6,0.4788507581803671,sabbatvm,6,0.5059021922428331,crvx,6,0.4885993485342019
ardeo,6,0.4559270516717325,pontifex,6,0.4402054292002935,creber,5,0.45126353790613716,semper,6,0.49586776859504134,filia,6,0.49261083743842365,do,6,0.5305039787798408,vsqve,5,0.47573739295908657,svpra/2,6,0.4788507581803671,rex,5,0.42158516020236086,praedico/3,6,0.4885993485342019
nobilis/2,6,0.4559270516717325,romanvs/a,6,0.4402054292002935,perdvco,5,0.45126353790613716,opera,6,0.49586776859504134,villa,6,0.49261083743842365,vivo,6,0.5305039787798408,ministerivm,5,0.47573739295908657,svscipio,6,0.4788507581803671,christvs/n,5,0.42158516020236086,signvm,6,0.4885993485342019
fvngor,6,0.4559270516717325,reverto,6,0.4402054292002935,interrogo,5,0.45126353790613716,clamo,6,0.49586776859504134,salvs,5,0.41050903119868637,videlicet,5,0.4420866489832007,monasterivm,5,0.47573739295908657,div,6,0.4788507581803671,traditio,5,0.42158516020236086,aio,6,0.4885993485342019
qvantvs/1,6,0.4559270516717325,memini,6,0.4402054292002935,cogitatio,5,0.45126353790613716,invenio,5,0.4132231404958678,praesvm/1,5,0.41050903119868637,pervenio,5,0.4420866489832007,svvs,5,0.47573739295908657,regno,6,0.4788507581803671,affero,5,0.42158516020236086,manvs/1,6,0.4885993485342019
placeo,6,0.4559270516717325,sancio,6,0.4402054292002935,nvper,4,0.36101083032490977,perfero,5,0.4132231404958678,percipio,5,0.41050903119868637,fons,5,0.4420866489832007,voco,5,0.47573739295908657,ascendo,6,0.4788507581803671,pono,5,0.42158516020236086,exercitvs/1,6,0.4885993485342019
vervs,5,0.3799392097264438,nobilis/2,6,0.4402054292002935,doceo,4,0.36101083032490977,pervenio,5,0.4132231404958678,nordanhymbri/n,5,0.41050903119868637,recipio,5,0.4420866489832007,liber/1,5,0.47573739295908657,provincia,5,0.39904229848363926,mevs,5,0.42158516020236086,svvm,6,0.4885993485342019
frater,5,0.3799392097264438,redeo/1,6,0.4402054292002935,provincia,4,0.36101083032490977,terra,5,0.4132231404958678,credo,5,0.41050903119868637,finis,5,0.4420866489832007,ergo/2,5,0.47573739295908657,nvllvs,5,0.39904229848363926,nvllvs,5,0.42158516020236086,qvod/1,6,0.4885993485342019
memini,5,0.3799392097264438,peto,6,0.4402054292002935,vsqve,4,0.36101083032490977,propter/2,5,0.4132231404958678,mvltvs,5,0.41050903119868637,magnvs,5,0.4420866489832007,nihil,5,0.47573739295908657,ivbeo,5,0.39904229848363926,ivxta/1,5,0.42158516020236086,solvs,5,0.40716612377850164
soleo,5,0.3799392097264438,imperivm,6,0.4402054292002935,ago,4,0.36101083032490977,tantvs,5,0.4132231404958678,britanni/n,5,0.41050903119868637,hodie,5,0.4420866489832007,lavs,5,0.47573739295908657,animvs,5,0.39904229848363926,incipio,5,0.42158516020236086,avdio,5,0.40716612377850164
lingva,5,0.3799392097264438,ivbeo,6,0.4402054292002935,infirmitas,4,0.36101083032490977,gavdivm,5,0.4132231404958678,coepio,5,0.41050903119868637,dominvs,5,0.4420866489832007,rex,4,0.3805899143672693,qvasi/1,5,0.39904229848363926,do,5,0.42158516020236086,vir,5,0.40716612377850164
accipio,5,0.3799392097264438,saecvlvm,6,0.4402054292002935,locvs,4,0.36101083032490977,virtvs,5,0.4132231404958678,dvx,5,0.41050903119868637,mitto,5,0.4420866489832007,ecclesiasticvs,4,0.3805899143672693,debeo,5,0.39904229848363926,domvs,5,0.42158516020236086,pontifex,5,0.40716612377850164
