,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
qvidam,4,0.7299270072992701,vmqvam,4,0.6837606837606838,christvs/n,4,0.6896551724137931,cavsa,4,0.7476635514018692,ecclesiasticvs,4,0.74487895716946,qvoqve,5,0.684931506849315,ivxta/1,5,0.7861635220125787,ecclesia,4,0.684931506849315,ieivnivm,4,0.7005253940455342,domvs,4,0.6861063464837049,contingo/1,4,0.631911532385466,prior,4,0.6339144215530903,pono,4,0.6568144499178982,ago,4,0.6688963210702341,memini,5,0.7473841554559043,lego/2,4,0.6756756756756757,vivo,4,0.6802721088435374,qvin/1,4,0.7017543859649122,fero,4,0.6756756756756757,praesvm/1,4,0.5772005772005772
inqvio,4,0.7299270072992701,hora,4,0.6837606837606838,gens,4,0.6896551724137931,pax,4,0.7476635514018692,vervs,4,0.74487895716946,cvro,5,0.684931506849315,septentrionalis,5,0.7861635220125787,affero,4,0.684931506849315,animvs,4,0.7005253940455342,cvnctvs,4,0.6861063464837049,ivbeo,4,0.631911532385466,stvdivm,4,0.6339144215530903,nomen,4,0.6568144499178982,mvltvs,4,0.6688963210702341,coepio,5,0.7473841554559043,vsqve,4,0.6756756756756757,maneo,4,0.6802721088435374,caelestis,4,0.7017543859649122,coepio,4,0.6756756756756757,fides/2,4,0.5772005772005772
vivo,4,0.7299270072992701,do,4,0.6837606837606838,angli/n,4,0.6896551724137931,miles,4,0.7476635514018692,maxime,4,0.74487895716946,traditio,5,0.684931506849315,redeo/1,5,0.7861635220125787,vnde/1,4,0.684931506849315,annvs,4,0.7005253940455342,convenio,4,0.6861063464837049,ibidem,4,0.631911532385466,provincia,4,0.6339144215530903,accipio,4,0.6568144499178982,aetas,4,0.6688963210702341,anima,5,0.7473841554559043,erga,4,0.6756756756756757,gradvs,4,0.6802721088435374,locvlvs,4,0.7017543859649122,res,4,0.6756756756756757,nordanhymbri/n,4,0.5772005772005772
iste,4,0.7299270072992701,volo/3,4,0.6837606837606838,verbvm,4,0.6896551724137931,prior,3,0.5607476635514018,avditor,4,0.74487895716946,pater,5,0.684931506849315,contra/2,5,0.7861635220125787,lingva,4,0.684931506849315,pavper,4,0.7005253940455342,homo,4,0.6861063464837049,regno,4,0.631911532385466,voco,4,0.6339144215530903,ergo/2,4,0.6568144499178982,fero,4,0.6688963210702341,devs,4,0.5979073243647235,nox,4,0.6756756756756757,lvx,4,0.6802721088435374,avdio,3,0.5263157894736842,ibidem,4,0.6756756756756757,corpvs,4,0.5772005772005772
animvs,4,0.7299270072992701,cvnctvs,4,0.6837606837606838,divinvs/2,4,0.6896551724137931,cvra,3,0.5607476635514018,diligens,4,0.74487895716946,monasterivm,5,0.684931506849315,dvx,5,0.7861635220125787,cvmqve,4,0.684931506849315,discipvlvs,3,0.5253940455341506,constrvo,4,0.6861063464837049,lego/2,3,0.47393364928909953,advenio,4,0.6339144215530903,cvmqve,4,0.6568144499178982,mitto,4,0.6688963210702341,salvs,4,0.5979073243647235,relinqvo,4,0.6756756756756757,ocvlvs,4,0.6802721088435374,verbvm,3,0.5263157894736842,vexillvm,4,0.6756756756756757,soleo,4,0.5772005772005772
invicem,4,0.7299270072992701,homo,4,0.6837606837606838,beatvs,4,0.6896551724137931,doceo,3,0.5607476635514018,postea,4,0.74487895716946,respondeo,5,0.684931506849315,totvs,5,0.7861635220125787,vivo,4,0.684931506849315,recipio,3,0.5253940455341506,solvs,3,0.5145797598627788,rego,3,0.47393364928909953,cvmqve,4,0.6339144215530903,propter/2,4,0.6568144499178982,potestas,4,0.6688963210702341,invenio,4,0.5979073243647235,spiritvs,4,0.6756756756756757,ascendo,4,0.6802721088435374,salvs,3,0.5263157894736842,lvx,4,0.6756756756756757,dies,4,0.5772005772005772
ivvenis/2,4,0.7299270072992701,loqvor,4,0.6837606837606838,pontifex,4,0.6896551724137931,roma/n,3,0.5607476635514018,ergo/2,4,0.74487895716946,inqvio,5,0.684931506849315,plenvs,4,0.628930817610063,transfero,4,0.684931506849315,adhvc,3,0.5253940455341506,noster,3,0.5145797598627788,vita,3,0.47393364928909953,propter/2,4,0.6339144215530903,dvm/2,4,0.6568144499178982,transeo/1,4,0.6688963210702341,qvidam,4,0.5979073243647235,ivdicivm,4,0.6756756756756757,qvoqve,3,0.5102040816326531,omnis,3,0.5263157894736842,ascendo,4,0.6756756756756757,primvs,4,0.5772005772005772
abba,3,0.5474452554744526,appareo,4,0.6837606837606838,romanvs/a,4,0.6896551724137931,percipio,3,0.5607476635514018,rex,3,0.5586592178770949,consto,5,0.684931506849315,venio,4,0.628930817610063,semper,4,0.684931506849315,finis,3,0.5253940455341506,cvra,3,0.5145797598627788,frater,3,0.47393364928909953,tantvs,4,0.6339144215530903,miracvlvm,4,0.6568144499178982,eo/1,4,0.6688963210702341,contingo/1,4,0.5979073243647235,silentivm,4,0.6756756756756757,abba,3,0.5102040816326531,episcopvs,3,0.5263157894736842,sanitas,4,0.6756756756756757,promitto,4,0.5772005772005772
frater,3,0.5474452554744526,trado,4,0.6837606837606838,fides/2,4,0.6896551724137931,episcopvs,3,0.5607476635514018,desidero,3,0.5586592178770949,gavdivm,5,0.684931506849315,ibi,4,0.628930817610063,vervs,3,0.5136986301369862,servo,3,0.5253940455341506,divinvs/2,3,0.5145797598627788,lindisfarnensis/a,3,0.47393364928909953,ritvs,4,0.6339144215530903,exemplvm,4,0.6568144499178982,appareo,4,0.6688963210702341,servo,4,0.5979073243647235,interrogo,4,0.6756756756756757,habeo,3,0.5102040816326531,olim,3,0.5263157894736842,salvs,3,0.5067567567567568,christianvs/2,4,0.5772005772005772
libellvs,3,0.5474452554744526,angli/n,3,0.5128205128205128,dico/2,4,0.6896551724137931,vita,3,0.5607476635514018,lego/2,3,0.5586592178770949,immo,5,0.684931506849315,pervenio,4,0.628930817610063,disco,3,0.5136986301369862,aeternvs,3,0.5253940455341506,cvro,3,0.5145797598627788,habeo,3,0.47393364928909953,gradvs,4,0.6339144215530903,lvx,4,0.6568144499178982,scribo,3,0.5016722408026756,dominicvs,4,0.5979073243647235,aio,4,0.6756756756756757,infirmitas,3,0.5102040816326531,veritas,3,0.5263157894736842,credo,3,0.5067567567567568,relinqvo,4,0.5772005772005772
