,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
qvia,5,0.5662514156285391,simvl/1,4,0.40650406504065045,cognosco,5,0.46040515653775327,exspecto,5,0.5175983436853002,dispono,5,0.5181347150259068,monasterivm,4,0.44994375703037126,obsecro,5,0.5202913631633715,mvltvs,5,0.508646998982706,salvs,4,0.45558086560364464,mos,5,0.499001996007984
vivo,5,0.5662514156285391,cvro,4,0.40650406504065045,qvoqve,5,0.46040515653775327,via,5,0.5175983436853002,manvs/1,5,0.5181347150259068,ago,4,0.44994375703037126,infirmitas,5,0.5202913631633715,sex,5,0.508646998982706,cetervs,4,0.45558086560364464,animvs,5,0.499001996007984
christianvs/2,5,0.5662514156285391,locvs,4,0.40650406504065045,simvl/1,5,0.46040515653775327,perficio,5,0.5175983436853002,presbyter,4,0.41450777202072536,dono,4,0.44994375703037126,vmqvam,5,0.5202913631633715,adeo/1,5,0.508646998982706,doceo,4,0.45558086560364464,vaco,5,0.499001996007984
regivs,5,0.5662514156285391,voco,4,0.40650406504065045,nomen,5,0.46040515653775327,qvoqve,4,0.4140786749482402,qvoqve,4,0.41450777202072536,coepio,4,0.44994375703037126,advenio,5,0.5202913631633715,dvx,5,0.508646998982706,alivs,4,0.45558086560364464,pavper,5,0.499001996007984
parvvs/2,5,0.5662514156285391,soleo,4,0.40650406504065045,nobilis/2,5,0.46040515653775327,revereor,4,0.4140786749482402,cvro,4,0.41450777202072536,cvmqve,4,0.44994375703037126,animvs,5,0.5202913631633715,baptizo,5,0.508646998982706,monasterivm,4,0.45558086560364464,sollicitvs,4,0.39920159680638717
labor/1,5,0.5662514156285391,contra/2,4,0.40650406504065045,aeternvs,5,0.46040515653775327,memoria,4,0.4140786749482402,doceo,4,0.41450777202072536,potivs,4,0.44994375703037126,transfero,5,0.5202913631633715,doctor,5,0.508646998982706,sancio,4,0.45558086560364464,devs,4,0.39920159680638717
pivs,4,0.4530011325028313,lingva,4,0.40650406504065045,conversatio,5,0.46040515653775327,certvs,4,0.4140786749482402,vsqve,4,0.41450777202072536,ivbeo,4,0.44994375703037126,dvco,5,0.5202913631633715,constrvo,5,0.508646998982706,veritas,4,0.45558086560364464,invenio,4,0.39920159680638717
dignvs,4,0.4530011325028313,contingo/1,4,0.40650406504065045,seqvor,5,0.46040515653775327,obsecro,4,0.4140786749482402,corpvs,4,0.41450777202072536,domvs,4,0.44994375703037126,ivdicivm,5,0.5202913631633715,svscipio,5,0.508646998982706,vnde/1,4,0.45558086560364464,vsqve,4,0.39920159680638717
venerabilis,4,0.4530011325028313,peto,4,0.40650406504065045,exemplvm,5,0.46040515653775327,nomen,4,0.4140786749482402,vnde/1,4,0.41450777202072536,iste,4,0.44994375703037126,manvs/1,5,0.5202913631633715,gloriosvs,4,0.40691759918616477,flvvivs,4,0.45558086560364464,perfero,4,0.39920159680638717
regio,4,0.4530011325028313,respondeo,4,0.40650406504065045,etenim,5,0.46040515653775327,soleo,4,0.4140786749482402,valeo,4,0.41450777202072536,sermo,4,0.44994375703037126,exeo/1,5,0.5202913631633715,historia,4,0.40691759918616477,pvlcher,4,0.45558086560364464,svvs,4,0.39920159680638717
